大分类,小分类,图片
Definizioni generali e doveri nell'uso della strada,carreggiata a doppio senso di circolazione,https://www.patentati.it/img_sign_400/550.png
Definizioni generali e doveri nell'uso della strada,strada a tre corsie per ogni senso di marcia,https://www.patentati.it/img_sign_400/552.png
Definizioni generali e doveri nell'uso della strada,strada a tre carreggiate,https://www.patentati.it/img_sign_400/562.png
Definizioni generali e doveri nell'uso della strada,attraversamento pedonale,无图片
Definizioni generali e doveri nell'uso della strada,strade extraurbane principali,无图片
Definizioni generali e doveri nell'uso della strada,isola di traffico,无图片
Definizioni generali e doveri nell'uso della strada,intersezione (incrocio) a livelli sfalsati,无图片
Definizioni generali e doveri nell'uso della strada,intersezione (incrocio) a raso,无图片
Definizioni generali e doveri nell'uso della strada,zona a traffico limitato,无图片
Definizioni generali e doveri nell'uso della strada,passaggio a livello,无图片
Definizioni generali e doveri nell'uso della strada,aree pedonali,无图片
Definizioni generali e doveri nell'uso della strada,"strada, definizione e caratteristiche",无图片
Definizioni generali e doveri nell'uso della strada,"autostrada, definizione e caratteristiche",无图片
Definizioni generali e doveri nell'uso della strada,"carreggiata, definizione e caratteristiche",无图片
Definizioni generali e doveri nell'uso della strada,le parti della carreggiata,无图片
Definizioni generali e doveri nell'uso della strada,"corsia, definizione e caratteristiche",无图片
Definizioni generali e doveri nell'uso della strada,corsia di accelerazione,无图片
Definizioni generali e doveri nell'uso della strada,corsia di decelerazione,无图片
Definizioni generali e doveri nell'uso della strada,"banchina, significato e caratteristiche",无图片
Definizioni generali e doveri nell'uso della strada,marciapiede,无图片
Definizioni generali e doveri nell'uso della strada,salvagente,无图片
Definizioni generali e doveri nell'uso della strada,passo carrabile,无图片
Definizioni generali e doveri nell'uso della strada,ciclomotori,无图片
Definizioni generali e doveri nell'uso della strada,tricicli a motore,无图片
Definizioni generali e doveri nell'uso della strada,quadricicli,无图片
Definizioni generali e doveri nell'uso della strada,macchine agricole e operatrici,无图片
Definizioni generali e doveri nell'uso della strada,"caravan, significato e caratteristiche",无图片
Definizioni generali e doveri nell'uso della strada,autocaravan,无图片
Definizioni generali e doveri nell'uso della strada,strisce e pannelli retroriflettenti,https://www.patentati.it/img_sign_400/304.png
Definizioni generali e doveri nell'uso della strada,"motocicli, significato e caratteristiche",无图片
Definizioni generali e doveri nell'uso della strada,autoveicoli,无图片
Definizioni generali e doveri nell'uso della strada,autovetture,无图片
Definizioni generali e doveri nell'uso della strada,"rimorchi, significato e caratteristiche",无图片
Definizioni generali e doveri nell'uso della strada,traffico intenso,无图片
Definizioni generali e doveri nell'uso della strada,file di veicoli,无图片
Definizioni generali e doveri nell'uso della strada,centri abitati,无图片
Definizioni generali e doveri nell'uso della strada,spostamenti segnaletica stradale,无图片
Definizioni generali e doveri nell'uso della strada,gare di velocità,无图片
Definizioni generali e doveri nell'uso della strada,inquinamento delle strade,无图片
Definizioni generali e doveri nell'uso della strada,comportamento del conducente,无图片
Definizioni generali e doveri nell'uso della strada,attenzione del conducente,无图片
Definizioni generali e doveri nell'uso della strada,prudenza del conducente,无图片
Definizioni generali e doveri nell'uso della strada,persone anziane,无图片
Definizioni generali e doveri nell'uso della strada,conducente e precedenze,无图片
Definizioni generali e doveri nell'uso della strada,vicinanza attraversamento pedonale,无图片
Definizioni generali e doveri nell'uso della strada,bambini al semaforo,无图片
Definizioni generali e doveri nell'uso della strada,guida veicolo e piazzole,无图片
Definizioni generali e doveri nell'uso della strada,taxi e conducente,无图片
Definizioni generali e doveri nell'uso della strada,ciclisti o pedoni,无图片
Definizioni generali e doveri nell'uso della strada,donne in gravidanza e carrozzine,无图片
Segnali di pericolo,strada dissestata,https://www.patentati.it/img_sign_400/1.png
Segnali di pericolo,segnale di dosso,https://www.patentati.it/img_sign_400/2.png
Segnali di pericolo,segnale di cunetta,https://www.patentati.it/img_sign_400/3.png
Segnali di pericolo,curva pericolosa a destra,https://www.patentati.it/img_sign_400/4.png
Segnali di pericolo,curva pericolosa a sinistra,https://www.patentati.it/img_sign_400/5.png
Segnali di pericolo,"doppia curva pericolosa, la prima a destra",https://www.patentati.it/img_sign_400/6.png
Segnali di pericolo,"doppia curva pericolosa, la prima a sinistra",https://www.patentati.it/img_sign_400/7.png
Segnali di pericolo,passaggio a livello con barriere,https://www.patentati.it/img_sign_400/8.png
Segnali di pericolo,attraversamento ferroviario a livello senza barriere,https://www.patentati.it/img_sign_400/9.png
Segnali di pericolo,croce di sant'andrea,https://www.patentati.it/img_sign_400/10.png
Segnali di pericolo,doppia croce di sant'andrea,https://www.patentati.it/img_sign_400/11.png
Segnali di pericolo,pannelli passaggio a livello,https://www.patentati.it/img_sign_400/13.png
Segnali di pericolo,attraversamento tram,https://www.patentati.it/img_sign_400/14.png
Segnali di pericolo,attraversamento pedoni,https://www.patentati.it/img_sign_400/15.png
Segnali di pericolo,attraversamento ciclabile,https://www.patentati.it/img_sign_400/16.png
Segnali di pericolo,discesa pericolosa,https://www.patentati.it/img_sign_400/17.png
Segnali di pericolo,salita ripida,https://www.patentati.it/img_sign_400/18.png
Segnali di pericolo,restringimento carreggiata,https://www.patentati.it/img_sign_400/19.png
Segnali di pericolo,restringimento sulla sinistra,https://www.patentati.it/img_sign_400/20.png
Segnali di pericolo,restringimento sulla destra,https://www.patentati.it/img_sign_400/21.png
Segnali di pericolo,ponte mobile,https://www.patentati.it/img_sign_400/22.png
Segnali di pericolo,strada sdrucciolevole,https://www.patentati.it/img_sign_400/24.png
Segnali di pericolo,attenzione bambini in zona,https://www.patentati.it/img_sign_400/25.png
