小分类,题目,答案
carreggiata a doppio senso di circolazione,In una carreggiata del tipo rappresentato si può sorpassare anche in curva,V
carreggiata a doppio senso di circolazione,La carreggiata del tipo rappresentato è a doppio senso di circolazione,V
carreggiata a doppio senso di circolazione,"In una carreggiata extraurbana del tipo rappresentato le corsie interne sono, di norma, riservate al sorpasso",V
carreggiata a doppio senso di circolazione,In una carreggiata del tipo rappresentato non si può effettuare l'inversione di marcia,V
carreggiata a doppio senso di circolazione,In una carreggiata extraurbana del tipo rappresentato si può sorpassare indifferentemente sia da destra che da sinistra,F
carreggiata a doppio senso di circolazione,In una carreggiata extraurbana del tipo rappresentato si può sempre marciare per file parallele,F
carreggiata a doppio senso di circolazione,In una carreggiata del tipo rappresentato possiamo iniziare un sorpasso anche se il conducente che sta dietro ha già iniziato la stessa manovra,F
strada a tre corsie per ogni senso di marcia,"Nella strada rappresentata, per ogni senso di marcia, la corsia di destra è, di norma, dedicata alla marcia ordinaria",V
strada a tre corsie per ogni senso di marcia,La strada rappresentata è composta da tre corsie per ogni senso di marcia,V
strada a tre corsie per ogni senso di marcia,"Nella strada rappresentata, per ogni senso di marcia, le corsie di centro e di sinistra sono dedicate, di norma, al sorpasso",V
strada a tre corsie per ogni senso di marcia,La strada rappresentata è composta da una carreggiata,V
strada a tre corsie per ogni senso di marcia,"Nella strada rappresentata, per ogni senso di marcia, la corsia di centro è dedicata, di norma, alla marcia ordinaria",F
strada a tre corsie per ogni senso di marcia,"Nella strada rappresentata, per ogni senso di marcia, la corsia di destra è dedicata, di norma, al sorpasso",F
strada a tre corsie per ogni senso di marcia,La strada rappresentata è composta da due carreggiate,F
strada a tre corsie per ogni senso di marcia,"Nella strada rappresentata, per ogni senso di marcia, la corsia di sinistra è dedicata, di norma, alla marcia ordinaria",F
strada a tre carreggiate,La strada rappresentata è composta da tre carreggiate,V
strada a tre carreggiate,La strada rappresentata è composta da otto corsie,V
strada a tre carreggiate,"Nella strada rappresentata le carreggiate laterali sono, di norma, a senso unico",V
strada a tre carreggiate,"Nella strada rappresentata la carreggiata centrale è, di norma, a doppio senso di circolazione",V
strada a tre carreggiate,"La strada rappresentata consente, di norma, il sorpasso anche in curva",V
strada a tre carreggiate,"La strada rappresentata è composta da quattro carreggiate, tutte a senso unico",F
strada a tre carreggiate,La strada rappresentata è composta da otto carreggiate,F
strada a tre carreggiate,"La strada rappresentata, di norma, ha due carreggiate a doppio senso di circolazione",F
strada a tre carreggiate,La strada rappresentata è composta da tre corsie,F
strada a tre carreggiate,"Nella strada rappresentata, la corsia centrale è a doppio senso di circolazione",F
strada a tre carreggiate,"Nelle carreggiate laterali della strada rappresentata è consentita, di norma, l'inversione di marcia",F
attraversamento pedonale,L'attraversamento pedonale viene segnalato con strisce bianche parallele,V
attraversamento pedonale,L'attraversamento pedonale è una parte della carreggiata sulla quale è vietata la fermata dei veicoli,V
attraversamento pedonale,"L'attraversamento pedonale è una parte della carreggiata, in cui i veicoli devono dare la precedenza ai pedoni, che attraversano sulle apposite strisce",V
attraversamento pedonale,L'attraversamento pedonale è una parte della carreggiata destinata al transito dei pedoni che attraversano,V
attraversamento pedonale,L'attraversamento pedonale è una parte della carreggiata sulla quale è vietata la sosta dei veicoli,V
attraversamento pedonale,"L'attraversamento pedonale è una parte della strada, separata dalla carreggiata mediante una striscia gialla",F
attraversamento pedonale,L'attraversamento pedonale è una parte della carreggiata vietata al transito dei veicoli,F
attraversamento pedonale,L'attraversamento pedonale non fa parte della carreggiata,F
attraversamento pedonale,L'attraversamento pedonale è posto al di fuori della carreggiata ed è destinato al transito dei pedoni,F
attraversamento pedonale,L'attraversamento pedonale è una parte della carreggiata in cui è consentita la fermata ma non la sosta dei veicoli,F
strade extraurbane principali,Le strade extraurbane principali sono a carreggiate separate,V
